item,itemLabel,startDate,endDate,psid
Q110969212,Aslan Bartsits,2019-09-25,2020-01-12,Q110969212-936E8BFA-5530-4265-8E5E-4821CD09562F
Q1359023,Raul Khadjimba,2005-02-12,2009-05-28,Q1359023-A37384CB-C0F2-4940-9329-6A2F68DB706F
Q18201796,Vitali Gabnia,2014-09-25,2018-08-22,Q18201796-40CBA99F-9DF5-495E-8355-9CB7BDC9AAB3
Q313355,Alexander Ankvab,2010-02-12,2011-05-29,Q313355-798186EA-AC92-4108-B059-321BDDF76EE2
Q4152132,Badr Gunba,2020-04-23,,Q4152132-EFDA7FAB-992B-44CF-BF86-083A476D0E3C
Q4265227,Mikhail Logua,2011-09-26,2013-12-25,Q4265227-645AFAC4-EF38-4927-8ACF-20FDCF8B11DC
Q467259,Valery Arshba,1995-01-05,2005-02-12,Q467259-0E53EF25-3FA6-4276-AF86-95859709B9FA
