@@,itemlabel,item,startdate,enddate
+++,Vladimir Kvarchelia,Q16011397,1954-10,1967-03
+++,Nikolai Kiut,Q16011627,1967,1973
+++,Aleksei Argun,Q16018035,1975,1986
+++,Nugzar Ashuba,Q380729,1986,1992
+++,Nodar Chanba,Q16186611,1991,1993
+++,Nodar Pilia,Q16853850,1994,1995
+++,Kesou Khagba,Q16145377,1995,1999
+++,Vladimir Zantaria,Q21097107,1999,2001-07-19
+++,Leonid Enik,Q15637429,2001,2005-03-10
+++,Nugzar Logua,Q4265229,2005-03-10,2011-05-29
+++,Nugzar Logua,Q4265229,2011-05-29,2011-10-13
+++,Badr Gunba,Q4152132,2011-10-13,2014-06-01
+++,Badr Gunba,Q4152132,2014-06-01,2014-10-15
+++,Elvira Arsalia,Q21572779,2014-10-15,
